index,Design No.,Stock,Category,Color,SKU_Cleaned
0,AN201,5.0,AN : LEGGINGS,Red,AN201-RED
1,AN201,5.0,AN : LEGGINGS,Red,AN201-RED
2,AN201,3.0,AN : LEGGINGS,Red,AN201-RED
3,AN201,6.0,AN : LEGGINGS,Red,AN201-RED
4,AN201,3.0,AN : LEGGINGS,Red,AN201-RED
5,AN202,11.0,AN : LEGGINGS,Orange,AN202-ORANGE
6,AN202,3.0,AN : LEGGINGS,Orange,AN202-ORANGE
7,AN202,16.0,AN : LEGGINGS,Orange,AN202-ORANGE
8,AN202,8.0,AN : LEGGINGS,Orange,AN202-ORANGE
9,AN202,14.0,AN : LEGGINGS,Orange,AN202-ORANGE
14,AN203,3.0,AN : LEGGINGS,Maroon,AN203-AROON
15,AN204,10.0,AN : LEGGINGS,Purple,AN204-PURPE
16,AN204,4.0,AN : LEGGINGS,Purple,AN204-PURPE
17,AN204,6.0,AN : LEGGINGS,Purple,AN204-PURPE
18,AN204,3.0,AN : LEGGINGS,Purple,AN204-PURPE
19,AN204,5.0,AN : LEGGINGS,Purple,AN204-PURPE
20,AN205,9.0,AN : LEGGINGS,Yellow,AN205-YEOW
21,AN205,7.0,AN : LEGGINGS,Yellow,AN205-YEOW
22,AN205,6.0,AN : LEGGINGS,Yellow,AN205-YEOW
23,AN205,7.0,AN : LEGGINGS,Yellow,AN205-YEOW
24,AN205,13.0,AN : LEGGINGS,Yellow,AN205-YEOW
25,AN206,10.0,AN : LEGGINGS,Green,AN206-GREEN
26,AN206,13.0,AN : LEGGINGS,Green,AN206-GREEN
27,AN206,13.0,AN : LEGGINGS,Green,AN206-GREEN
28,AN206,15.0,AN : LEGGINGS,Green,AN206-GREEN
29,AN206,13.0,AN : LEGGINGS,Green,AN206-GREEN
30,AN207,4.0,AN : LEGGINGS,Pink,AN207-PINK
32,AN207,4.0,AN : LEGGINGS,Pink,AN207-PINK
35,AN209,4.0,AN : LEGGINGS,Beige,AN209-BIEGE
36,AN209,7.0,AN : LEGGINGS,Beige,AN209-BIEGE
37,AN209,4.0,AN : LEGGINGS,Beige,AN209-BIEGE
38,AN209,3.0,AN : LEGGINGS,Beige,AN209-BIEGE
39,AN209,3.0,AN : LEGGINGS,Beige,AN209-BIEGE
40,AN210,5.0,AN : LEGGINGS,Navy Blue,AN210-NAVY
41,AN210,3.0,AN : LEGGINGS,Navy Blue,AN210-NAVY
42,AN210,4.0,AN : LEGGINGS,Navy Blue,AN210-NAVY
47,AN211,7.0,AN : LEGGINGS,Black,AN211-BACK
48,AN211,3.0,AN : LEGGINGS,Black,AN211-BACK
49,AN211,3.0,AN : LEGGINGS,Black,AN211-BACK
50,AN212,11.0,AN : LEGGINGS,White,AN212-WHITE
51,AN212,8.0,AN : LEGGINGS,White,AN212-WHITE
52,AN212,13.0,AN : LEGGINGS,White,AN212-WHITE
53,AN212,21.0,AN : LEGGINGS,White,AN212-WHITE
54,AN212,12.0,AN : LEGGINGS,White,AN212-WHITE
56,AN213,7.0,AN : LEGGINGS,Brown,AN213-BROWN
57,AN213,8.0,AN : LEGGINGS,Brown,AN213-BROWN
58,AN213,6.0,AN : LEGGINGS,Brown,AN213-BROWN
59,AN213,8.0,AN : LEGGINGS,Brown,AN213-BROWN
63,BL005,16.0,BLOUSE,Red,B005-54RED
71,BL011,22.0,BLOUSE,Pink,B011-62PINK
75,BL015,14.0,BLOUSE,Pink,B015-63PINK
76,BL016,24.0,BLOUSE,Red,B016-63RED
96,BL030,10.0,BLOUSE,Beige,B030-78BEIGE
97,BL031,8.0,BLOUSE,Pink,B031-79PINK
98,BL034,31.0,BLOUSE,Gold,B034-150GOD
103,BL040,31.0,BLOUSE,Pink,B040-65PINK
104,BL041,30.0,BLOUSE,Red,B041-65RED
105,BL046,23.0,BLOUSE,Red,B046-82RED
108,BL053,20.0,BLOUSE,Gold,B053-153GOD
110,BL056,23.0,BLOUSE,Gold,B056-185GOD
112,BL058,20.0,BLOUSE,Beige,B058-65BEIGE
118,BL074,17.0,BLOUSE,Red,B074-85RED
119,BL075,7.0,BLOUSE,Chiku,B075-85CHIKU
120,BL076,21.0,BLOUSE,Black,B076-86BACK
121,BL077,8.0,BLOUSE,Red,B077-86RED
122,BL078,18.0,BLOUSE,Black,B078-87BACK
123,BL079,12.0,BLOUSE,Red,B079-87RED
124,BL080,12.0,BLOUSE,Black,B080-88BACK
125,BL081,30.0,BLOUSE,Pink,B081-88PINK
126,BL082,9.0,BLOUSE,Beige,B082-88CHIKU
127,BL083,16.0,BLOUSE,Gold,B083-186GOD
128,BL084,11.0,BLOUSE,Gold,B084-187GOD
129,BL085,24.0,BLOUSE,Orange,B085
130,BL085,15.0,BLOUSE,Orange,B085
131,BL085,12.0,BLOUSE,Orange,B085
132,BL085,13.0,BLOUSE,Orange,B085
133,BL085,6.0,BLOUSE,Orange,B085
134,BL085,11.0,BLOUSE,Orange,B085
136,BL086,4.0,BLOUSE,Blue,B086
137,BL086,5.0,BLOUSE,Blue,B086
139,BL086,5.0,BLOUSE,Blue,B086
140,BL086,8.0,BLOUSE,Blue,B086
141,BL086,3.0,BLOUSE,Blue,B086
145,BL087,11.0,BLOUSE,Multicolor,B087
146,BL087,5.0,BLOUSE,Multicolor,B087
147,BL087,18.0,BLOUSE,Multicolor,B087
149,BL089,4.0,BLOUSE,Multicolor,B089
150,BL089,4.0,BLOUSE,Multicolor,B089
151,BL089,3.0,BLOUSE,Multicolor,B089
152,BL089,8.0,BLOUSE,Multicolor,B089
153,BL089,4.0,BLOUSE,Multicolor,B089
154,BL089,7.0,BLOUSE,Multicolor,B089
155,BL090,30.0,BLOUSE,Peach,B090
157,BL090,11.0,BLOUSE,Peach,B090
158,BL090,16.0,BLOUSE,Peach,B090
159,BL090,29.0,BLOUSE,Peach,B090
160,BL090,19.0,BLOUSE,Peach,B090
161,BL091,4.0,BLOUSE,Multicolor,B091
162,BL091,4.0,BLOUSE,Multicolor,B091
163,BL091,7.0,BLOUSE,Multicolor,B091
164,BL091,3.0,BLOUSE,Multicolor,B091
165,BL091,7.0,BLOUSE,Multicolor,B091
166,BL091,3.0,BLOUSE,Multicolor,B091
167,BL092,20.0,BLOUSE,Blue,B092
168,BL092,22.0,BLOUSE,Blue,B092
169,BL092,13.0,BLOUSE,Blue,B092
170,BL092,27.0,BLOUSE,Blue,B092
171,BL092,17.0,BLOUSE,Blue,B092
172,BL092,25.0,BLOUSE,Blue,B092
175,BL093,11.0,BLOUSE,Grey,B093
176,BL093,4.0,BLOUSE,Grey,B093
177,BL093,4.0,BLOUSE,Grey,B093
178,BL093,3.0,BLOUSE,Grey,B093
182,BL095,26.0,BLOUSE,Multicolor,B095
187,BL096,8.0,BLOUSE,Beige,B096
189,BL096,8.0,BLOUSE,Beige,B096
192,BL097,25.0,BLOUSE,Maroon,B097
194,BL097,11.0,BLOUSE,Maroon,B097
195,BL097,9.0,BLOUSE,Maroon,B097
199,BL098,25.0,BLOUSE,Brown,B098
200,BL098,31.0,BLOUSE,Brown,B098
203,BL098,31.0,BLOUSE,Brown,B098
204,BL098,27.0,BLOUSE,Brown,B098
205,BL099,5.0,BLOUSE,Black,B099
206,BL099,6.0,BLOUSE,Black,B099
207,BL099,9.0,BLOUSE,Black,B099
208,BL099,6.0,BLOUSE,Black,B099
209,BL099,12.0,BLOUSE,Black,B099
210,BL099,4.0,BLOUSE,Black,B099
211,BL100,4.0,BLOUSE,Green,B100
212,BL100,5.0,BLOUSE,Green,B100
213,BL100,6.0,BLOUSE,Green,B100
214,BL100,8.0,BLOUSE,Green,B100
215,BL100,9.0,BLOUSE,Green,B100
216,BL100,5.0,BLOUSE,Green,B100
218,BL101,3.0,BLOUSE,Grey,B101
219,BL101,8.0,BLOUSE,Grey,B101
220,BL101,4.0,BLOUSE,Grey,B101
221,BL101,6.0,BLOUSE,Grey,B101
224,BL102,7.0,BLOUSE,Navy Blue,B102
225,BL102,5.0,BLOUSE,Navy Blue,B102
226,BL102,16.0,BLOUSE,Navy Blue,B102
227,BL102,19.0,BLOUSE,Navy Blue,B102
228,BL102,16.0,BLOUSE,Navy Blue,B102
229,BL102,6.0,BLOUSE,Navy Blue,B102
230,BL103,7.0,BLOUSE,Maroon,B103
231,BL103,3.0,BLOUSE,Maroon,B103
232,BL103,29.0,BLOUSE,Maroon,B103
233,BL103,8.0,BLOUSE,Maroon,B103
234,BL103,27.0,BLOUSE,Maroon,B103
235,BL103,4.0,BLOUSE,Maroon,B103
238,BL104,14.0,BLOUSE,Black,B104
239,BL104,20.0,BLOUSE,Black,B104
240,BL104,29.0,BLOUSE,Black,B104
241,BL104,26.0,BLOUSE,Black,B104
244,BL107,15.0,BLOUSE,White,B107
245,BL107,3.0,BLOUSE,White,B107
246,BL107,6.0,BLOUSE,White,B107
247,BL107,4.0,BLOUSE,White,B107
249,BL109,23.0,BLOUSE,Gold,B109
252,BL109,17.0,BLOUSE,Gold,B109
253,BL109,15.0,BLOUSE,Gold,B109
254,BL109,9.0,BLOUSE,Gold,B109
255,BL110,8.0,BLOUSE,Red,B110
256,BL110,7.0,BLOUSE,Red,B110
257,BL110,18.0,BLOUSE,Red,B110
258,BL110,8.0,BLOUSE,Red,B110
259,BL110,16.0,BLOUSE,Red,B110
260,BL110,5.0,BLOUSE,Red,B110
261,BL111,9.0,BLOUSE,Black,B111
262,BL111,6.0,BLOUSE,Black,B111
263,BL111,11.0,BLOUSE,Black,B111
264,BL111,4.0,BLOUSE,Black,B111
265,BL111,13.0,BLOUSE,Black,B111
267,BL113,4.0,BLOUSE,Maroon,B113
268,BL113,3.0,BLOUSE,Maroon,B113
269,BL113,11.0,BLOUSE,Maroon,B113
270,BL113,8.0,BLOUSE,Maroon,B113
271,BL113,27.0,BLOUSE,Maroon,B113
272,BL113,7.0,BLOUSE,Maroon,B113
278,BTM002,22.0,PANT,White,BT002
283,BTM003,25.0,PANT,Maroon,BT003
285,BTM003,24.0,PANT,Maroon,BT003
287,BTM003,4.0,PANT,Maroon,BT003
288,BTM003,4.0,PANT,Maroon,BT003
291,BTM004,3.0,BOTTOM,White,BT004
294,BTM004,3.0,BOTTOM,White,BT004
300,BTM005,21.0,PANT,Black,BT005
305,BTM006,3.0,BOTTOM,Green,BT006
306,BTM006,3.0,BOTTOM,Green,BT006
307,BTM006,3.0,BOTTOM,Green,BT006
308,BTM006,4.0,BOTTOM,Green,BT006
312,BTM007,3.0,BOTTOM,Beige,BT007
315,BTM008,6.0,PANT,Grey,BT008
317,BTM008,5.0,PANT,Grey,BT008
318,BTM008,10.0,PANT,Grey,BT008
319,BTM008,21.0,PANT,Grey,BT008
320,BTM008,6.0,PANT,Grey,BT008
321,BTM008,15.0,PANT,Grey,BT008
330,BTM026,6.0,PANT,Red,BT026-NP
331,BTM026,6.0,PANT,Red,BT026-NP
333,BTM026,23.0,PANT,Red,BT026-NP
335,BTM026,3.0,PANT,Red,BT026-NP
336,BTM027,14.0,PANT,Green,BT027-NP
337,BTM027,14.0,PANT,Green,BT027-NP
339,BTM027,8.0,PANT,Green,BT027-NP
340,BTM027,25.0,PANT,Green,BT027-NP
341,BTM027,25.0,PANT,Green,BT027-NP
342,BTM027,16.0,PANT,Green,BT027-NP
344,BTM029,4.0,PANT,Beige,BT029-NP
352,BTM030,8.0,PANT,Dark Green,BT030-NP
354,BTM030,7.0,PANT,Dark Green,BT030-NP
356,BTM030,5.0,PANT,Dark Green,BT030-NP
358,BTM031,6.0,PANT,Brown,BT031-NP
360,BTM031,13.0,PANT,Brown,BT031-NP
361,BTM031,20.0,PANT,Brown,BT031-NP
368,BTM032,5.0,PANT,Pink,BT032-NP
369,BTM032,3.0,PANT,Pink,BT032-NP
375,BTM033,5.0,PANT,Turquoise Blue,BT033-NP
376,BTM033,3.0,PANT,Turquoise Blue,BT033-NP
380,BTM035,4.0,PANT,Mustard,BT035-NP
382,BTM035,12.0,PANT,Mustard,BT035-NP
383,BTM035,3.0,PANT,Mustard,BT035-NP
384,BTM035,4.0,PANT,Mustard,BT035-NP
385,BTM036,3.0,PALAZZO,Red,BT036-PP
386,BTM036,10.0,PALAZZO,Red,BT036-PP
387,BTM036,8.0,PALAZZO,Red,BT036-PP
388,BTM036,6.0,PALAZZO,Red,BT036-PP
390,BTM036,3.0,PALAZZO,Red,BT036-PP
391,BTM036,6.0,PALAZZO,Red,BT036-PP
393,BTM037,4.0,PALAZZO,Teal,BT037-PP
394,BTM037,7.0,PALAZZO,Teal,BT037-PP
395,BTM037,3.0,PALAZZO,Teal,BT037-PP
396,BTM037,21.0,PALAZZO,Teal,BT037-PP
397,BTM037,3.0,PALAZZO,Teal,BT037-PP
398,BTM037,3.0,PALAZZO,Teal,BT037-PP
399,BTM038,3.0,PALAZZO,Black,BT038-PP
401,BTM038,6.0,PALAZZO,Black,BT038-PP
403,BTM038,30.0,PALAZZO,Black,BT038-PP
404,BTM038,3.0,PALAZZO,Black,BT038-PP
408,BTM039,4.0,PALAZZO,White,BT039-PP
410,BTM039,11.0,PALAZZO,White,BT039-PP
412,BTM039,4.0,PALAZZO,White,BT039-PP
414,BTM040,4.0,PALAZZO,Brown,BT040-PP
416,BTM040,3.0,PALAZZO,Brown,BT040-PP
418,BTM040,4.0,PALAZZO,Brown,BT040-PP
420,BTM041,6.0,PALAZZO,Grey,BT041-PP
421,BTM041,5.0,PALAZZO,Grey,BT041-PP
423,BTM041,7.0,PALAZZO,Grey,BT041-PP
425,BTM041,7.0,PALAZZO,Grey,BT041-PP
426,BTM041,7.0,PALAZZO,Grey,BT041-PP
427,BTM042,3.0,PALAZZO,Mustard,BT042-PP
428,BTM042,3.0,PALAZZO,Mustard,BT042-PP
429,BTM042,29.0,PALAZZO,Mustard,BT042-PP
430,BTM042,3.0,PALAZZO,Mustard,BT042-PP
432,BTM042,6.0,PALAZZO,Mustard,BT042-PP
433,BTM042,3.0,PALAZZO,Mustard,BT042-PP
436,BTM043,4.0,PALAZZO,Khaki,BT043-PP
437,BTM043,3.0,PALAZZO,Khaki,BT043-PP
438,BTM043,8.0,PALAZZO,Khaki,BT043-PP
439,BTM043,3.0,PALAZZO,Khaki,BT043-PP
440,BTM043,3.0,PALAZZO,Khaki,BT043-PP
442,BTM044,3.0,PALAZZO,Maroon,BT044-PP
443,BTM044,5.0,PALAZZO,Maroon,BT044-PP
446,BTM044,3.0,PALAZZO,Maroon,BT044-PP
447,BTM044,5.0,PALAZZO,Maroon,BT044-PP
448,BTM045,4.0,PALAZZO,Olive Green,BT045-PP
449,BTM045,3.0,PALAZZO,Olive Green,BT045-PP
451,BTM045,4.0,PALAZZO,Olive Green,BT045-PP
452,BTM045,26.0,PALAZZO,Olive Green,BT045-PP
453,BTM045,24.0,PALAZZO,Olive Green,BT045-PP
454,BTM045,6.0,PALAZZO,Olive Green,BT045-PP
455,BTM046,3.0,PALAZZO,Navy Blue,BT046-PP
